PAIS,ESTADO,CIDADE,CODIGO IBGE CIDADE,CODIGO IBGE ESTADO,REGIAO,POP 2010 IBGE,DATA CRIAÇÃO,INSTITUIÇÃO,SIGLA,MODELO,COORDENADOR,CURSO/ÁREA,MODELO/NUMERO,NOME,CONTATO,E-MAIL,FACEBOOK ,INSTAGRAM,SITE,YOUTUBE,DISCIPLINA CORRELATIVA,DISCIPLINA CURRICULAR,NATUREZA,Gênese e Propriedade do Solo,Gênese e Morfologia do Solo,Gênese e Classificação do Solo,Gênese do Solo,Classificação Solo,Propriedades do Solo,Pedologia,Nutrição Mineral de Plantas,Fertilidade do Solo,Levantamento de Solo,Mecânica do Solo,Geologia,Manejo e Conservação do Solo e da Água,Física do Solo,Classificação do Solo,Manejo e Conservação do Solo ,"Uso, Manejo e Conservação do Solo",Fundamentos de Física dos Solos,Mineralogia,Química do Solo,Física do Solo,Solos do Semiárido,Elementos do Solo,Matéria Ôrganica do Solo,Atributos e Classificação do Solo,Introdução à Ciência do Solo,Ciência do Solo,Edafologia,Morfologia e Classificação do Solo,Conservação do Solo,Natureza e Propriedades do Solo,Pedologia Prática,"Contituição, Propriedades do Solo","Levantantamento, aptidão, manejo e conservação do solo",Edafologia Aplicada,Pedologia Aplicada,Manejo Ecológico do Solo,Caracteristica e Propriedade do Solo,Sistema Planta-Solo-Atmosfera,Geologia Aplicada a Solos,  Tecnologia do Solo,"Manejo, conservação e recuperação áreas degradadas",Solo 1,Solo 2,Fundamentos de Pedologia,Introdução à Ciência do Solo,Solos,Ciência do Solo I,Ciência do Solo II,Fundamentos de Ciência do Solo,Biologia do Solo,Classificação e Levantamento de Solo,Propriedades Físicas e Quimicas do Solo," Gênese, Morfologia e Classificação Solo",Manejo do Solo,Propriedades Físicas dos Solos,Facebook_N,INSTAGRAM_N,YOUTUBE_N,SITE_N
Brasil,AL,Rio Largo,2707701,27,Nordeste,"68481,00",10/1/2019,Universidade Federal de Alagoas,UFAL,Federal,Regla Toujaguez La Rosa Massahud,Agronomia,Federal,Projeto Geobio: Geodiversidade & Biodiversidade - Valores e Conexões,sim,sim,não,não,sim,não,sim,"Física do solo / Uso, Manejo e Conservação do Solo / ",obrigatória,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brasil,AL,Arapiraca,2700300,27,Nordeste,"214006,00",12/5/2019,Universidade Federal de Alagoas,UFAL,Federal,Cícero Gomes dos Santos,Agronomia,Federal,Projeto João de Barro e Solos Agreste / UFAL,sim,sim,não,não,não,não,sim,Gênese e Morfologia do Solo /  Classificação do Solo / Fundamentos de Física dos Solo / ,obrigatória,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,BA,Ilhéus,2913606,29,Nordeste,"184236,00",3/1/2013,Universidade Estadual de Santa Cruz,UESC,Estadual,Ana Maria Souza dos Santos Moreau,Agronomia/Geografia,Estadual,PET Solos - Agregando Saberes,sim,sim,sim,sim,sim,sim,sim,Pedologia / Mineralogia / Quimíca do Solo / Física do solo / Fertilidade do Solo ,obrigatória,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Brasil,BA,Cruz das Almas,2909802,29,Nordeste,"58606,00",2/1/2011,Universidade Federal do Recôncavo Bahiano,UFRB,Federal,Euzelina dos Santos Borges Inacio,Agronomia,Federal,Programa Solo na Escola / UFRB,sim,sim,sim,sim,não,não,sim,Gênese e Morfologia do Solo / Física do solo / Manejo e conservação do solo / ,obrigatória,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Brasil,BA,Barreiras,2903201,29,Nordeste,"137427,00",8/28/2019,Universidade do Estado da Bahia,UNEB,Estadual,Adilson Alves Costa,Eng. Agrônomica ,Estadual,Projeto Solo na Escola / UNEB,sim,sim,não,sim,não,não,sim,Gênese e Morfologia do Solo /  Física do Solo / Classificação de Solos / Fertilidade de Solo / Manejo e Conservação Solo / ,obrigatória,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,BA,Vitória da Conquista,2933307,29,Nordeste,"306866,00",5/25/2019,Universidade Estadual do Sudoeste da Bahia,UESB,Estadual,Caroline Valverde dos Santos ,Agronomia ,Estadual,Projeto Solos na Escola / UESB,sim,sim,não,sim,não,não,sim,Pedologia / Física do Solo / Química do Solo / Levantamento do Solo / Classificação de Solo / Manejo e Conservação do Solo /,obrigatória,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,CE,Fortaleza,2304400,23,Nordeste,"2452185,00",5/3/2011,Universidade Estadual do Ceará,UECE,Estadual,Cleire Lima da Costa Falcão,Geografia ,Estadual,"Programa de Educação em Solos: Conhecer, Instrumentar e Propagar / UECE",sim,sim,não,não,não,não,sim,Pedologia,obrigatória,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,CE,Fortaleza,2304400,23,Nordeste,"2452185,00",1/1/2018,Universidade Federal do Ceará,UFC,Federal,Raul Shiso Toma,Agronomia ,Federal,Projeto Solo na Escola / UFC,sim,sim,não,sim,não,não,sim,Gênese e Morfologia do Solo / Química do Solo / Fertilidade do Solo / Física do Solo / Levantamento de Solo / Classificação do Solo / Manejo e Conservação do Solo e da Água / ,obrigatória,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,CE,Redenção,2311603,23,Nordeste,"26415,00",1/8/2016,Universidade de Integração Internacional da Lusofonia Afro-Brasileira ,UNILAB,Federal,Susana Churka Blum,Agronomia ,Federal,Projeto Solo Vivo,sim,sim,não,sim,não,não,sim,Gênese e Morfologia do Solo / Física do Solo / Fertilidade do solo / Levantamento de Solo / Classicação do Solo / Manejo e Conservação do solo e da água / ,obrigatória,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,MA,Caxias,2103000,21,Nordeste,"155129,00",11/27/2017,Instituto Federal de Educação Ciência e Tecnologia de Maranhão ,IFMA,Instituto Federal,Régia Maria Reis Gualter,Ciências Biológicas e Téc. Agropecuária,Instituto Federal,Projeto Solos na Escola / IFMA,sim,sim,não,sim,não,não,sim,Ciência Biológica - não se aplica /  Téc. Agropecuária - Fertilidadedo Solo /  Manejo e Conservação dos Solos ,obrigatória,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
